,곡명,가사,좋아요수
86,피 땀 눈물,"Today 아마도 어제보다는 더
Survive until the end
해보자고 어제보다는 더
Survive until the end
Survive until the end
Survive until the end
Today 아마도 어제보다는 더
Survive until the end
해보자고 어제보다는 더
Survive until the end
Brothers let’s keep brawlin'
Brothers let’s keep brawlin'
Today 아마도 어제보다는 더
Survive until the end
단맛 쓴맛 전부 다 봤어
그래서 내가 왜 움직여야 하는지 알았어
우리는 게임 속의 주인공
주인공은 원래 그렇게 강하지 않았었지
그래 1화는 일화로서 냅둬
그래야만 다음은 활약 하는 chapter
그래 많이 참았어 가만히 있지 않았어
그래서 내 차례에는 끼어들지 말아줄래
Plz가 아니거든 착각은 금물
노력의 산물 피, 땀, 눈물
Like bts 어디 이 방탄도 뚫어봐라
Started from the bottom now we here 불
Emoji도 표현 못할 이 기분을
그저 거저 쥐어 줘 그건 순 뻥이거든
아이가 부러워하는 어른과 그 아이가 부러운 어른
최후의 1인 우리의 상대는 각자의 거울
Today 아마도 어제보다는 더
Survive until the end
해보자고 어제보다는 더
Survive until the end
Bro & sis keep brawlin'
온 사방이 별 번쩍거리는
Space's 별 속 별
별 볼 일 없는 놈이 쏘아올린 공
Unofficialboyy
You might also likeToday 아마도 어제보다는 더
Survive until the end
해보자고 어제보다는 더
Survivе until the end
Brothers lеt’s keep brawlin'
Brothers let’s keep brawlin'
Today 아마도 어제보다는 더
Survive until the end
Umm show down uh uh call out
It is show time 전부 다 드루와
Feel like ghost face enemies all around me
No more 약한 소리 it's like
Pistol 겨냥 후 바로 훅
전장을 누비는 전사
더는 못하지 후진
All I do is win that's we
마치 dj frank 처럼 소리 지르지
여기는 별들 천지 나도 못지 않게 bling
Let's keep brawlin' we're the stars bro & sis
패배는 가르쳐 승리 이전에 포기 못할 이유
그래 만들었어 그게 이렇게
숫자에 불과하다는 나이를 한 살 한 살 먹게 되고
어색해 1등이 마지막이 아마 초2때?
그때의 나와 지금의 난 여전히 나
Today is a good day
Today 아마도 어제보다는 더
Survive until the end
해보자고 어제보다는 더
Survive until the end
Brothers let’s keep brawlin'
Brothers let’s keep brawlin'
Today 아마도 어제보다는 더
Survive until the end
Today 아마도 어제보다는 더
Survive until the end
해보자고 어제보다는 더
Survive until the end
Brothers let’s keep brawlin'
Brothers let’s keep brawlin'
Today 아마도 어제보다는 더
Survive until the endEmbed","79,943"
87,둘! 셋! (그래도 좋은 날이 더 많기를),"I was supposed to tell you this
This is all for you
Let’s only walk on flower trails
I can’t say that
Let’s only see good things
I can’t say that either
Saying that there will only be good things from now on
Saying that you won’t get hurt
I can’t say that
I can’t lie like that
""Because you’re all idols
It sucks even if I don’t hear it
I don’t like your lyrics
I can already imagine the performance
Because you don’t have power, you would certainly
Have done dirty deeds in the past
Observing how you act
Soon you’ll cease to exist.""
(Thank you so much)
Because of your inferiority complex
I was able to prove myself something
I wasn’t able to do when in high school
Hands clapping, yes, keep on going, keep on going
We’ll be happy by ourselves
Good, yeah, i’m good
It’s okay come on when I say one two three forget it
Erase all sad memories hold my hand and smile
It’s okay, come on when I say one, two, three forget it
Erase all sad memories
Smile holding onto each other’s hands
You might also likeHoping for more good days
If you believe what I say then one, two, three (one two three)
If you believe then one, two, three (one two three)
Hoping for more good days
If you believe me then one, two, three (one two three)
If you believe then one, two, three (one two three)
Hoping that everything will change when we say
1, 2, 3
Hoping that everything will change
For a better day
Because we are together
Me, a shadow behind the stage
Me, in the depth of darkness
I didn’t want to show everything, including my pain
But because I’m still unaccustomed
I just wanted to make you smile
I wanted to do good
So thanks
For believing in someone like me
For dealing with these tears and wounds
So thanks
For becoming my light
For becoming the flower in the most beautiful moment in life
It’s okay, come on when I say one, two, three forget it
Erase all sad memories, hold my hand and smile
It’s okay, come on when I say one, two, three forget it
Erase all sad memories
Smile holding onto each other’s hands
Hoping for more good days
If you believe what I say then one, two, three
If you believe then one, two, three
Hoping for more good days
If you believe what I say then one, two, three
If you believe then one, two, three
If you believe then 1, 2, 3
If you believe then 1, 2, 3
If you believe then 1, 2, 3
If you believe then 2, 3 say
It’s okay, come on when I say one, two, threeforget it
Erase all sad memories, hold my hand and smile
It’s okay, come on when I say one, two, three forget it
Erase all sad memories
Smile holding onto each other’s hands
Hoping for more good days
If you believe what I say then one, two, three
If you believe then one, two, three
Hoping for more good days
If you believe what I say then one, two, three
If you believe then one, two, three
It’s okay, come on when I say one, two, three forget it
Erase all sad memories hold my hand and smile
It’s okay, come on when I say one, two, three forget it
Erase all sad memories
Smile holding onto each other’s hands
It’s okay, come on when I say one, two, three forget it
Erase all sad memories
Smile holding onto each other’s hands","79,269"
88,고엽,"떨어져 날리는 저기 낙엽처럼
힘없이 스러져만 가 내 사랑이
니 맘이 멀어져만 가 널 잡을 수 없어
더 더 더 잡을 수 없어 난
더 붙들 수 없어 yeah
저기 저 위태로워 보이는 낙엽은
우리를 보는 것 같아서
손이 닿으면 단숨에라도
바스라질 것만 같아서
그저 바라만 봤지 가을의 바람과 같이
어느새 차가워진 말투와 표정
관계는 시들어만 가는 게 보여
가을 하늘처럼 공허한 사이
예전과는 다른 모호한 차이
오늘따라 훨씬 더 조용한 밤
가지 위에 달린 낙엽 한 장
부서지네 끝이란 게 보여
말라가는 고엽
초연해진 마음속의 고요
제발 떨어지지 말아주오
떨어지지 말아줘 바스라지는 고엽
내 눈을 마주치는 너를 원해
다시 나를 원하는 널 원해
제발 떨어지지 말어
스러지려 하지 말어
Never, never fall
멀리 멀리 가지 마
Baby you girl 놓지 못하겠는걸
Baby you girl 포기 못하겠는걸
떨어지는 낙엽들처럼
이 사랑이 낙엽들처럼
Never, never fall
시들어가고 있어
모든 낙엽은 떨어지듯이
영원할 듯하던 모든 건 멀어지듯이
너는 나의 다섯 번째 계절
널 보려 해도 볼 수 없잖아
봐 넌 아직 내겐 푸른색이야
마음은 걷지 않아도 저절로 걸어지네
미련이 빨래처럼 조각조각 널어지네
붉은 추억들만 더러운 내 위에 덜어지네
내 가지를 떨지 않아도 자꾸만 떨어지네
그래 내 사랑은 오르기 위해 떨어지네
가까이 있어도 나의 두 눈은 멀어지네
벌어지네 이렇게 버려지네
추억 속에서 난 또 어려지네
You might also likeNever, never fall yeah
Never, never fall yeah
내 눈을 마주치는 너를 원해
다시 나를 원하는 널 원해
제발 떨어지지 말어
스러지려 하지 말어
Never, never fall
멀리 멀리 가지 마
왜 난 아직도 너를 포기 못해 난
시들어진 추억을 붙잡고
욕심인 걸까?
지는 계절을 되돌리려 해 돌리려 해
타올라 붉게 활활
다 아름다웠지 우리의 길 위엔
근데 시들어버리고
낙엽은 눈물처럼 내리고
바람이 불고 다 멀어지네 all day
비가 쏟아지고 부서지네
마지막 잎새까지 넌 넌 넌
내 눈을 마주치는 너를 원해
다시 나를 원하는 널 원해
제발 떨어지지 말어
스러지려 하지 말어
Never, never fall
멀리 멀리 가지 마
Baby you girl 놓지 못하겠는걸
Baby you girl 포기 못하겠는걸
떨어지는 낙엽들처럼
이 사랑이 낙엽들처럼
Never, never fall
시들어가고 있어
Never, never fall
Never, never fall","78,365"
90,Intro : Singularity,"
무언가 깨지는 소리
난 문득 잠에서 깨
낮설음 가득한 소리
귀를 막아 보지만 잠엘 들지 못해
목이 자꾸 아파와
감싸 보려하지만
나에겐 목소리가
없어 오늘도 그 소릴 들어
또 울리고있어 그 소리가
이얼어 붙은 호수에 또 금이 가
그 호수에 내가 날 버렸 잖아
내 목소릴 널 위해 묻었 잖아
날 버린 겨울 호수 위로
두꺼운 얼음이 얼었네
잠시 들어간 꿈 속에도
나를 괴롭히는 환상 통은 여전해 (Mmh)
나는 날 잃은 걸까
아님 널 잃은 걸까
나 문득 호수로 달려가
오그 속에 내 얼굴 있어
부탁해 아무 말도하지 마
입을 막으려 손을 뻗어 보지만
보지만 결국 엔 언젠가 봄이와
얼음들은 녹아 내려 흘러 가
Tell me 내 목소리가 가짜라면 (Oh)
날 버리지 말았어야했는지 (Oh, no)
Tell me 고통조차 가짜라면 (Oh)
그 때 내가 무얼해야했는지You might also like","75,277"
91,팔도강산,"BigHit Represent
우리는 방탄소년단, Let go
서울 강원부터 경상도
충청도부터 전라도
마마 머라카노 (What)
마마 머라카노 (What)
서울 강원부터 경상도
충청도부터 전라도
우리가 와불따고 전하랑께 (what)
우린 멋져부러 허벌라게
아재들 안녕하십니꺼
내카모 고향이 대구 아입니꺼
그캐서 오늘은 사투리 랩으로
머시마 가시나 신경 쓰지
말고 한번 놀아봅시더
거시기 여러분 모두
안녕들 하셨지라
오메 뭐시여
요 물땜시 랩 하것띠야
아재 아짐들도
거가 박혀있지 말고
나와서 즐겨
싹다 잡아블자고잉
마 갱상도카모
신라의 화랑 후예들이
계속해서 자라나고
사투리하모 갱상도 아이가
구수하고 정겨운게 딱
우리 정서에 맞다 아이가
You might also like아따 성님 거거 우리도 있당께
뭣좀 묵엇단까
요 비빔밥 갑이랑께
아직 씨부리잠 세발의 피이니께
쫌따 벼 개안하게 풀어블라니까
가가 가가 이런 말은 아나
갱상도는 억시다고 누가 그카노
머라케샀노 갱상도 정하모
아나바다 같은거지 모
니가 직접와서 한번봐라
아 대따 마
대구 머스마라서
두 말 안한다카이
하모하모 갱상도 쥑인다 아인교
아주라 마 우리가 어디 남인교
(시방 머라고라?) 흐미~ 아찌아쓰까나
전라도 씨부림땜시
아구지 막혀브러싸야
흑산도 홍어코
한방 잡수믄 된디
온몸 구녕이란 구녕은
막 다 뚫릴 텬디
거시기 뭐시기 음… 괜찮것소?
아직 팔구월 풍월 나 애가졌소
무등산 수박 크기
20키로 장사여
겉만 봐도 딱
가시내 울릴 방탄여
서울 강원부터 경상도
충청도부터 전라도
마마 머라카노 (What)
마마 머라카노 (What)
서울 강원부터 경상도
충청도부터 전라도
우리가 와불따고 전하랑께 (what)
우린 멋져부러 허벌라게
(J-Hope and Suga talking)
아 이 촌놈들 난
Seoul state of mind
난 서울에서 나서
서울말 잘 배웠다
요즘은 뭐 어디
사투리가 다 벼슬이다만
그래 인정할게
악센트들이 멋은 있다 (huh?)
하지만 여긴
표준인 만큼 정직해
처음과 끝이 분명하고
딱 정립된
한국말의 표본으로 정리되지
Only ours goes with English
Y'all never understand it
Okay 솔직히 솔직해질게
경상도 사투리는 남자라면
쓰고 싶게 만들어
전라도 말들은
너무나 친근해
한번 입에 담으면
어우야 내가 다 기쁘네
Why keep fighting
결국 같은 한국말들
올려다 봐 이렇게
마주한 같은 하늘
살짝 오글거리지만
전부다 잘났어
말 다 통하잖아?
문산부터 마라도
서울 강원부터 경상도
충청도부터 전라도
마마 머라카노 (What)
마마 머라카노 (What)
서울 강원부터 경상도
충청도부터 전라도
우리가 와불따고 전하랑께 (what)
우린 멋져부러 허벌라게
서울 강원부터 경상도
충청도부터 전라도
마마 머라카노 (What)
마마 머라카노 (What)
서울 강원부터 경상도
충청도부터 전라도
우리가 와불따고 전하랑께 (what)
우린 멋져부러 허벌라게","75,195"
92,We Are Bulletproof PT.2,"(What) You’d better be nervous
(What) The ultimate king at the end
(What) We are bulletproof
We are bulletproof
Bulletproof
The name is Jung Kook, the nationwide scale
I pulled all-nighters at practice rooms
Instead of school, dancing and singing
While you guys partied
I gave up sleep for my dreams
I stay up all night every day, holding my pen
After the sun rises, I close my eyes
The double standard and all the opposition
Amid all that, I broke the limit of myself
Meanwhile, some are luckily picked up by an agency
And being forced to rap as they can’t sing
Such a waste to call you a rapper
Everywhere I go, everything I do
I’ll show you as much as I’ve honed
All the people who looked down on me are now
(Oh, oh, oh, oh, oh, oh) Hey, shout it out
Oh, if you’ve done enough like me, throw a stone at me
We go hard, we have no fear
(Click click, bang bang) We just sing it like
(Click click, bang bang) We just sing it like
Oh, if you’ve done enough like me, throw a stone at me
We go hard, we have no fear
(Click click, bang bang) We just sing it like
(Click click, bang bang) We just sing it like
(What) Now we’ll take it
(What) You’d better be nervous
(What) The ultimate king at the end
(What) We are bulletproof
We are bulletproof
Bulletproof
Look at my profile, I’ve got nothing yet
Still a trainee and a rapper man, yeah, I do know that’s nothin'
I was worried once but now no need to
You’re still amateurs, I’m a major, hope you’ll be rotten like that forever
Like Rap Monster says, just like a monster I devour any kind of beat
Deserve to have my name? Guys, come on here
Look at the preview, the change of small fry idol
Haha, the pride of hip-hop guys said it’s impossible
But take a look, there’s a period in it, I’m possible
Now you satisfied, boy?
You might also likeEverywhere I go, everything I do
I’ll show you as much as I’ve honed
All the people who looked down on me are now
(Oh, oh, oh, oh, oh, oh) Hey, shout it out
Oh, if you’ve done enough like me, throw a stone at me
We go hard, we have no fear
(Click click, bang bang) We just sing it like
(Click click, bang bang) We just sing it like
Oh, if you’ve done enough like me, throw a stone at me
We go hard, we have no fear
(Click click, bang bang) We just sing it like
(Click click, bang bang) We just sing it like
(What) Now we’ll take it
(What) You’d better be nervous
(What) The ultimate king at the end
(What) We are bulletproof
We are bulletproof
Bulletproof
Bulletproof","74,515"
94,전하지 못한 진심 (Feat. Steve Aoki),"외로움이 가득히
피어있는 이 garden
가시투성이
이 모래성에 난 날 매었어
너의 이름은 뭔지
갈 곳이 있긴 한지
Oh could you tell me?
이 정원에 숨어든 널 봤어
And I know
너의 온긴 모두 다 진짜란 걸
푸른 꽃을 꺾는 손
잡고 싶지만
내 운명인 걸
Don't smile to me
Light on me
너에게 다가설 수 없으니까
내겐 불러줄 이름이 없어
You know that I can't
Show you me
Give you me
초라한 모습 보여줄 순 없어
또 가면을 쓰고 널 만나러 가
But I still want you
외로움의 정원에 핀
너를 닮은 꽃
주고 싶었지
바보 같은 가면을 벗고서
You might also likeBut I know
영원히 그럴 수는 없는 걸
숨어야만 하는 걸
추한 나니까
난 두려운 걸
초라해
I'm so afraid
결국엔 너도 날 또 떠나버릴까
또 가면을 쓰고 널 만나러 가
할 수 있는 건
정원에
이 세상에
예쁜 너를 닮은 꽃을 피운 다음
니가 아는 나로 숨쉬는 것
But I still want you
Ooh, ooh
I still want you
Ooh
어쩌면 그때
조금만
이만큼만
용길 내서 너의 앞에 섰더라면
지금 모든 건 달라졌을까
난 울고 있어
사라진
무너진
홀로 남겨진 이 모래성에서
부서진 가면을 바라보면서
And I still want you
But I still want you
But I still want you
And I still want you","73,576"
95,Tomorrow,"같은 날 (같은 날), 같은 달 (같은 달)
Twenty four, seven 매번 반복되는 매 순간 (매 순간)
어중간 (어중간) 한 내 삶 (한 내 삶)
이십대의 백수는 내일이 두려워 참 (Oh)
웃기지 어릴 땐 뭐든 가능할거라 믿었었는데
하루를 벌어 하루를 사는 게 빠듯하단 걸 느꼈을 때
내내 기분은 컨트롤 비트, 계속해서 다운되네
매일매일이 Control C, Control V 반복되네
갈 길은 먼데 왜 난 제자리니
답답해 소리쳐도 허공의 메아리지
내일은 오늘보다는 뭔가 다르길
난 애원할 뿐야
니 꿈을 따라가 like breaker
부서진대도, oh, better
니 꿈을 따라가 like breaker
무너진대도, oh
뒤로 달아나지마 never
해가 뜨기 전 새벽이 가장 어두우니까
먼 훗날에 넌 지금의 널 절대로 잊지 마
지금 니가 어디 서 있든
잠시 쉬어가는 것일 뿐
포기하지 마 알잖아
너무 멀어지진 마 tomorrow
멀어지진 마 tomorrow
너무 멀어지진 마 tomorrow
우리가 그토록 기다린 내일도 어느새
눈을 떠보면 어제의 이름이 돼
내일은 오늘이 되고 오늘은 어제가
되고 내일은 어제가 되어 내 등 뒤에 서있네
삶은 살아지는 게 아니라 살아내는 것
그렇게 살아내다가 언젠간 사라지는 것
멍 때리다간 너, 쓸려가
If you ain't no got the guts, trust
어차피 다 어제가 되고 말 텐데 하루하루가 뭔 의미겠어
행복해지고, 독해지고 싶었는데 왜 자꾸 약해지기만 하지 계속
나 어디로 가, 여기로 가고 저기로 가도 난 항상 여기로 와
그래 흘러가긴 하겠지 어디론가, 끝이 있긴 할까 이 미로가
You might also like갈 길은 먼데 왜 난 제자리니
답답해 소리쳐도 허공의 메아리
내일은 오늘보다는 뭔가 다르길
난 애원할 뿐야
니 꿈을 따라가 like breaker
부서진대도, oh, better
니 꿈을 따라가 like breaker
무너진대도, oh
뒤로 달아나지마 never
해가 뜨기 전 새벽이 가장 어두우니까
먼 훗날에 넌 지금의 널 절대로 잊지 마
지금 니가 어디 서 있든
잠시 쉬어가는 것일 뿐
포기하지 마 알잖아
너무 멀어지진 마 tomorrow
Tomorrow, 계속 걸어요
멈추기엔 우린 아직 너무 어려
Tomorrow, 문을 열어
닫기엔 많은 것들이 눈에 보여
어두운 밤이 지나면 밝은
아침도 있듯이, 알아서
내일이오면 밝은 빛이 비추니
걱정은 하지 말아줘
이건 정지가 아닌 니 삶을 쉬어가는
잠시 동안의 일시 정지
엄지를 올리며 니 자신을
재생해 모두 보란 듯이
니 꿈을 따라가 like breaker (Oh yeah)
부서진대도, oh, better (Oh-oh-oh)
니 꿈을 따라가 like breaker
무너진대도, oh
뒤로 달아나지마 never
해가 뜨기 전 새벽이 가장 어두우니까
먼 훗날에 넌 지금의 널 절대로 잊지 마
지금 니가 어디 서 있든
잠시 쉬어가는 것일 뿐
포기하지 마, 알잖아
너무 멀어지진 마 tomorrow
멀어지진 마 tomorrow
너무 멀어지진 마 tomorrow","72,798"
96,Love Maze,"'Cause I'll be in love maze
'Cause I'll be in love maze
선택의 미로 속에 갇혀
막다른 혼돈 속에 지쳐
우린 정답을 찾아 헤맸었지만
Lost in the maze, in the darkness
끝없이 길을 달리고 달려봐도
저 수많은 거짓 아우성들이
우릴 갈라놓을 수 있어
정말인 걸, baby
우린 우리만 믿어야 해
두 손 놓치면 안 돼
영원히 함께여야해야해
남들은 얘기해 이럼 너만 바보 돼, ayy
But I don't wanna use my head, I don't wanna calculate
Love ain't a business, rather like a fitness
머리 쓰며 사랑한 적 없기에
추울 걸 알아 겨울처럼 말야
그래도 난 부딪치고 싶어, ayy
니가 밀면 넘어질게 날 일으켜줘, yeah
내가 당겨도 오지 않아도 돼
Let them be them, let us be us
Love is a maze, damn
But you is amaze, yeah
Take my-y-y hand 손을 놓지 마
Lie-ie-ie 미로 속에서
My-y-y 절대 날 놓치면 안돼
In love maze
Take my-y-y hand 손을 놓지 마
My-y-y 더 가까이 와
My-y-y 절대 엇갈리면 안돼
In love maze
You might also like남들이 뭐라던 듣지 말자
Just let 'em talk 누가 뭐라건
그럴 수록 난 더 확신이 생겨
Yeah, yeah, yeah
Yeah, yeah, yeah
Can't you hear me? 날 믿어야 해
Baby, just don't give a damn
Promise 내게 약속해속해
사방이 막혀있는 미로 속 막다른 길
이 심연 속을 우린 거닐고 있지
저기 가느다란 빛
그 낙원을 향해 헤매고 있기를
명심해 때론 거짓은 우리 사일 가르려 하니
시련은 우릴 속이려 하지 but
그럴 땐 내게 집중해
어둠 속에선 우리면 충분해
덧없는 거짓 속에서
우리가 함께면 끝이 없는 미로조차 낙원
Take my-y-y hand 손을 놓지 마
Lie-ie-ie 미로 속에서
My-y-y 절대 날 놓치면 안돼
In love maze
뭐 어쩌겠어 우린 공식대로 와 있고
그래 어쩌겠어 그 법에 맞춰 맞닿아있어
방황하는 이 미로도
미지수의 그 기로도
서로를 위한 섭리 중 하나인걸
난 늘 생각해 영원은 어렵대도
해보고 싶다고 그래 영원해 보자고
둘만의 산, 둘만의 climb
둘만의 세계의 축, 둘만의 마음
출구를 향한 travel
잡은 두 손이 지도가 되어
Take my-y-y hand 손을 놓지 마
Lie-ie-ie 미로 속에서
My-y-y 절대 날 놓치면 안돼
In love maze
Take my-y-y hand 손을 놓지 마
My-y-y 더 가까이 와
My-y-y 절대 엇갈리면 안돼
In love maze","70,393"
97,OUTRO,"Gotta live my life
Gotta take my pride
Gotta shine my light
Wake up
Wake up
Gotta live your life
Gotta take your pride
Gotta shine your light
Wake up
Wake up
Gotta live my life
Gotta take my pride
Gotta shine my light
Wake up
Wake up
Gotta live your life
Gotta take your pride
Gotta shine your light
Wake up
Wake up
Gotta live my life
Gotta take my pride
Gotta shine my light
Wake up
Wake up
Gotta live your life
Gotta take your pride
Gotta shine your light
Wake up
Wake up
Gotta live my life
Gotta take my pride
Gotta shine my light
Wake up
Wake upYou might also likeEmbed","68,260"
99,INTRO : Never Mind,"앞만 보고 달렸지
주위를 둘러 볼 틈 없이
어느새 나는 가족의 자랑이 됐고
어느 정도 성공을 했어
사춘기라 말하는 그쯤
생각이 나네 문득
그 당시 나는 어렸고 무서울 게 없었지
몇 번의 좌절 그건 아무것도 아녀
달라진 거라곤 그때에 비해 조금 커진 키와
동 나이대에 비해 조금 성숙해진 시야
남산동의 지하 작업실에서부터
압구정까지 깔아 놓은 내 beat 청춘의 출처
주위 모두 말했지 오버하지마
음악 한답시고 깝치면 집안 거덜내니까
그때부터 신경 안 썼지 누가 뭐라든지
그저 내 꼴린대로 내 소신대로 살아갈 뿐
니가 보기엔 지금 난 어떨 것 같냐
내가 보기엔 어떨 것 같아?
내가 망하길 기도했던 몇몇 놈에게 물을게
집안 거덜 낸 것 같냐 새꺄
I don't give a shit, I don't give a fuck
하루 수백 번 입버릇처럼 말했던
‘내게서 신경 꺼’
실패나 좌절 맛보고 고개 숙여도 돼
우리는 아직 젊고 어려 걱정 붙들어매
구르지 않는 돌에는 필시 끼기 마련이거든 이끼
돌아갈 수 없다면 직진 실수 따윈 모두 다 잊길
Never mind
쉽진 않지만 가슴에 새겨놔
부딪힐 것 같으면 더 세게 밟아 임마
Never mind, never mind
그 어떤 가시밭 길이라도 뛰어가
Never mind, never mind
세상엔 니가 어쩔 수 없는 일도 많아
You better
Never mind, never mind
부딪힐 것 같으면 더 세게 밟아 임마
Never mind, never mind
포기하기에는 우린 아직 젊고 어려 임마
Never mind
You might also like부딪힐 것 같으면 더 세게 밟아 임마
부딪힐 것 같으면 더 세게 밟아 임마
Never mind","63,419"
100,Stay,"꿈이었을까
널 본 것 같아
눈뜨면 다시
아무도 없는 방
가만히 난 주문을 걸어
그 어느 때보다 크게 뛰는 heart
이 순간 우리 언제라도 어디 있대도
Together, wherever, yeah
Wherever, yeah
반복도 복인 것 같아
나도 모르겠어 나의 속을 (Uh huh)
널 볼 순 없을까
가만히 모아보네 두 손을 (Uh huh)
변하지 않는 내일
미친놈처럼 I keep sayin'
Wherever you are, I know you always stay
저 구름이 지나간 자리에
Stay
마른 입술로 너에게 말해
Stay, stay, stay, stay (Always)
Yeah I know you always stay
Yeah I know you always stay
Yeah I know you always stay
찬란한 오늘의
그 모두를 위해, hey yeah
Oh, every night and day
Yeah I know you always stay
You might also like바로 지금 난 널 생각해
니가 어디에 있던지
그게 뭐가 중요해
We connect to 7G
It ain't the end of the world
The present, it shine like a pearl
이건 몇 파동에 불과
하지만 내가 널 바꿔놓을 거야
가만히 난 주문을 걸어
그 어느 때보다 밝게 보이는 star
이 순간 우린 언제라도 어디 있대도
Wherever you are, I know you always stay
저 바람이 지나간 바다에
Stay
굳은 입술로 네게 말을 해
Stay, stay, stay, stay (Always)
Yeah I know you always stay
Yeah I know you always stay
Yeah I know you always stay
찬란한 오늘의
그 모두를 위해, hey yeah
Oh, every night and day
Yeah I know you always stay
찬바람이 불어와
손 내밀어 네 숨결을 느껴
눈 감은 어느새
우린 함께인 걸","63,379"
101,Make It Right (feat. Lauv),"BTS - Make It Right (feat. Lauv)
G-Eazy - I Wanna Rock (feat. Gunna)
Gryffin - Body Back (feat. Maia Wright)
Gucci Mane - Big Boy Diamonds (feat. Kodak Black & London On Da Track)
Kash Doll - No Lames (feat. Summer Walker)
Ali Gatie - Say to You
beabadoobee - Space Cadet
Kiana Ledé - Easy Breezy
Sasha Sloan - Keep On
Foals - Like Lightning
YUNGBLUD - casual sabotage
Au/Ra - Ghost
Daddy Yankee - Que Tire Pa Lante
Russ - BEST ON EARTH (feat. BIA)
Famous Dex - Proofread (feat. Wiz Khalifa)
Jim-E Stack - Good Enough
James Arthur - Quite Miss Home
Rex Orange County - Pluto Projector
bbno$ - slop
DaniLeigh - Cravin (feat. G-Eazy)
Becky G - 24/7
Beck - Uneventful Days
JP Saxe - If The World Was Ending (feat. Julia Michaels)
gabriel black - fuck up
Ghetto Sage - Häagen Dazs
Lost Kings - Somebody Out There (feat. Marc E. Bassy)
Cody Simpson - golden thing
Grace VanderWaal - I Don't Like You
Perfume Genius - Pop Song
James Vickery - Pressure (with SG Lewis)
Caroline Polachek - Look At Me Now
Jimmy Eat World - 555
Marilyn Manson - God's Gonna Cut You Down
Blake Shelton - Jesus Got a Tight Grip
Maddie & Tae - Lay Here With Me
Emmi Elliott - Fine
Matt Berninger - Walking on a String
Alice Merton - Easy
Hey Violet - Clean
Flight Facilities - Better Than Ever
Madeon - Be Fine
Melii - High For U (feat. Gyptian)
Blueface - First Class
Free Nationals - Eternal Light
Shoffy - How Many
Tate McRae - all my friends are fake
X Lovers - Life
WizTheMc - R.O.O.T.
Gang Starr - Bad Name
binki - Heybb!
Grace Carter - Fired Up
Anthony Ramos - Figure It Out
Emotional Oranges - Sundays
Justin Rarri - 8LBS
NEIKED - Sometimes
L Devine - Peachy Keen
Wes Period - Beautifully Broken
Lunay - La Cama
KIRBY - Don't Leave Your Girl
Vagabon - In A Bind
Sudan Archives - Glorious
Neffex - Without You
Jadakiss - ME
CLMD - DANCE
Armin van Buuren - Unlove You
Conor Matthews - Midnight Flight
Josie Dunne - Stay The Way I Left You (feat. Dahl)
AJ Mitchell - Like Strangers Do
Half Moon Run - Favourite Boy
Third Eye Blind - Ways
Quinn Lewis - Empty
Mt. Joy - Rearrange Us
Willie Jones - Whole Lotta Love
Dame D.O.L.L.A - You Feel Me ft. Mozzy
Rexx Life Raj - No Permission Needed
Mayer Hawthorne - Over
Dana Williams - Hard
Godfather of Harlem - Rise (feat. Samm Henshaw)
Markie - In My Flesh (with Lil Durk)
Landon Cube - Pretty
Peachy! - Easy
Kate Bollinger - No Other Like You
Navvy - Mad At You
Flawes - Ghost Town
VÉRITÉ - think of me
Allie X - Rings a Bell
Gavin Haley - Low Beams
White Reaper - Hard Luck
Berhana - G2g
2KBABY - Dreaming
Electric Guest - Freestyle
FRANKIE - Underdog
Hovvdy - Keep It Up
Porches - rangerover
Yung Pinch - That's My Baby (feat. Pouya)
Tank - This (feat. Shawn Stockman and Omari Hardwick)
Thad Kopec - One Last WeddingEmbed","61,879"
102,OUTRO : House Of Cards,"또 위태로워 또 위험해
So bad why 우린 yeah
더 버티기도 지탱하기도
So hard hard 안 돼
Fall
이미 알고 있어도
멈출 수가 없었어
No way no way no way 쓰러져
시간이 지나갈수록
더 망가져가기만 해
No way no way 또 무너지는 걸
카드로 만든 집 그 속에서 우린
끝이 보인대도 곧 쓰러진대도
카드로 만든 집 바보같이 우린
헛된 꿈이래도 이대로 조금 더 stay
내일이란 게 없듯이
다음이란 건 없듯이
지금 내겐 눈 앞에 너를 뺀 모든 게
지독히 깜깜한 어둠이지
입버릇처럼 말해
우린 결국엔 안 돼
그래도 난 계속 바래
마지막도 너와 함께라면 I'm okay
이미 알고 있어도
멈출 수가 없었어
No way, no way, no way 쓰러져
시간이 지나갈수록
더 망가져 가기만 해
No way, no way 또 무너지는 걸
You might also like카드로 만든 집 그 속에서 우린
끝이 보인대도 곧 쓰러진대도
카드로 만든 집 바보같이 우린
헛된 꿈이래도 이대로 조금 더 stay","60,356"
